id,tag
1291543,"科幻,喜剧,人性,爱情,青春,大陆,犯罪,动作,经典,香港"
1291544,"惊悚,科幻,人性,青春,经典,动作,动画,美国,悬疑"
1291545,"科幻,喜剧,人性,文艺,悬疑,爱情,青春,经典,香港,美国,动画"
1291546,"人性,文艺,爱情,青春,大陆,经典,香港,美国,惊悚"
1291548,"人性,文艺,爱情,青春,经典,美国"
1291549,"喜剧,人性,文艺,爱情,青春,日本,经典,美国"
1291550,"喜剧,人性,文艺,爱情,青春,大陆,经典,动作,犯罪,香港,悬疑"
1291552,"惊悚,科幻,喜剧,人性,文艺,爱情,青春,经典,动作,香港,美国,动画"
1291553,"人性,文艺,爱情,青春,日本,经典,香港"
1291554,"惊悚,科幻,人性,文艺,爱情,青春,大陆,日本,经典,香港,美国,悬疑"
1291555,"科幻,人性,文艺,爱情,青春,大陆,日本,经典,香港"
1291556,"爱情,经典,人性,文艺"
1291557,"人性,文艺,爱情,青春,大陆,经典,香港"
1291558,"人性,文艺,爱情,青春,大陆,日本,经典,香港,短片,美国"
1291559,"人性,文艺,爱情,青春,经典,犯罪"
1291560,"科幻,喜剧,人性,文艺,爱情,青春,日本,经典,动作,动画"
1291561,"惊悚,科幻,人性,文艺,爱情,青春,大陆,日本,经典,动作,香港,短片,美国,动画"
1291562,"人性,文艺,爱情,青春,经典,犯罪,纪录片,美国"
1291563,"惊悚,人性,文艺,爱情,大陆,经典,纪录片,短片,美国,悬疑"
1291564,"科幻,人性,文艺,爱情,青春,经典,短片,美国"
1291565,"喜剧,人性,文艺,犯罪,经典,短片,美国,动画"
1291566,"惊悚,科幻,人性,日本,经典,动作,犯罪,美国,动画"
1291568,"日本,经典,人性,文艺"
1291569,"科幻,人性,爱情,日本,犯罪,动作,经典,动画"
1291571,"科幻,人性,文艺,爱情,青春,经典,动作,美国,动画"
1291572,"科幻,人性,文艺,青春,经典,动作,美国,动画"
1291573,"喜剧,青春,经典,短片,美国,动画"
1291574,"科幻,喜剧,青春,日本,经典,动作,美国,动画"
1291575,"科幻,喜剧,爱情,青春,经典,动作,美国,动画"
1291576,"科幻,喜剧,人性,爱情,青春,日本,经典,动作,动画"
1291577,"科幻,喜剧,人性,爱情,青春,经典,动作,犯罪,美国,动画"
1291578,"科幻,喜剧,人性,爱情,青春,经典,动作,短片,美国,动画"
1291579,"惊悚,科幻,喜剧,人性,青春,经典,美国,动画"
1291580,"惊悚,科幻,喜剧,人性,爱情,青春,日本,经典,犯罪,动作,动画,美国,悬疑"
1291581,"科幻,喜剧,人性,爱情,青春,日本,经典,美国,动画"
1291582,"科幻,喜剧,人性,爱情,青春,经典,动作,美国,动画"
1291583,"科幻,人性,文艺,爱情,青春,大陆,日本,经典,香港,美国,动画"
1291584,"科幻,喜剧,人性,文艺,悬疑,爱情,青春,大陆,日本,经典,犯罪,动作,香港,动画,美国,惊悚"
1291585,"科幻,人性,爱情,青春,日本,经典,动画"
1291586,"科幻,喜剧,人性,文艺,爱情,青春,大陆,日本,经典,动作,香港,美国,动画"
1291587,"经典,人性,美国,动画"
1291588,"人性,爱情,青春,日本,经典,动画"
1291818,"喜剧,人性,文艺,爱情,大陆,经典,香港,美国"
1291822,"人性,文艺,爱情,青春,经典,美国,惊悚"
1291823,"人性,文艺,悬疑,犯罪,动作,经典,美国,惊悚"
1291824,"人性,经典,动作,犯罪,纪录片,美国"
1291828,"喜剧,人性,文艺,爱情,青春,经典,美国"
1291829,"纪录片,短片"
1291830,"大陆,纪录片,人性,日本"
1291831,"人性,文艺,爱情,青春,经典"
1291832,"惊悚,喜剧,人性,文艺,爱情,青春,大陆,日本,犯罪,经典,动作,香港,美国,悬疑"
1291833,"喜剧,人性,文艺,爱情,经典,美国"
1291834,"人性,美国,文艺,悬疑"
1291835,"喜剧,人性,文艺,爱情,青春,日本,经典,短片,美国"
1291836,"人性,文艺,爱情,青春,经典,美国"
1291838,"科幻,喜剧,人性,文艺,爱情,青春,日本,经典,动作,动画"
1291839,"科幻,人性,文艺,悬疑,爱情,经典,动作,犯罪,香港,美国,惊悚"
1291840,"喜剧,人性,文艺,爱情,经典,美国"
1291841,"惊悚,人性,文艺,爱情,青春,犯罪,经典,动作,美国,悬疑"
1291842,"喜剧,人性,文艺,爱情,青春,经典,美国"
1291843,"惊悚,科幻,人性,文艺,爱情,青春,日本,经典,动作,犯罪,美国,悬疑"
1291844,"科幻,人性,悬疑,爱情,青春,经典,动作,犯罪,美国,惊悚"
1291845,"爱情,经典,人性,美国"
1291846,"文艺,爱情,青春,经典,纪录片,美国"
1291847,"喜剧,人性,文艺,爱情,青春,大陆,经典"
1291848,"人性,文艺,爱情,青春,大陆,日本,经典,香港"
1291849,"纪录片,经典,美国"
1291850,"人性,文艺,爱情,青春,大陆,日本,经典,香港,纪录片"
1291851,"人性,文艺,爱情,青春,大陆,经典,犯罪,香港,纪录片,美国"
1291852,"人性,文艺,爱情,青春,经典,纪录片,美国"
1291853,"喜剧,人性,文艺,爱情,青春,大陆,日本,经典,香港,美国,惊悚"
1291854,"爱情,文艺"
1291855,"青春,大陆,爱情,文艺"
1291856,"人性,文艺,爱情,青春,经典,美国"
1291857,"纪录片,经典,美国,文艺"
1291858,"喜剧,人性,文艺,爱情,大陆,日本,经典,纪录片,惊悚"
1291859,"人性,文艺,爱情,青春,大陆,日本,经典,香港,美国"
1291860,"经典,动作"
1291861,"人性,日本,犯罪,经典,美国,悬疑"
1291862,"日本,经典,人性,爱情"
1291863,"人性,爱情,日本,犯罪,经典,动作,悬疑"
1291864,"人性,爱情,青春,大陆,经典,美国"
1291865,"爱情,经典,人性"
1291866,"喜剧,爱情,经典,动作,犯罪"
1291867,"犯罪,人性,美国"
1291868,"人性,文艺,爱情,青春,大陆,日本,经典,香港,美国,悬疑"
1291869,"人性,文艺,悬疑,爱情,经典,犯罪,动作,美国,惊悚"
1291870,"喜剧,人性,文艺,爱情,青春,经典,美国"
1291871,"爱情,人性,美国"
1291872,"人性,文艺,爱情,青春,经典,美国"
1291873,"人性,文艺,爱情,经典,美国"
1291874,"人性,文艺,爱情,经典,美国"
1291875,"喜剧,人性,文艺,爱情,青春,大陆,经典,犯罪,香港"
1291876,"人性,文艺,爱情,青春,大陆,经典"
1291877,"人性,文艺,爱情,青春,经典,悬疑"
1291878,"人性,文艺,爱情,青春,犯罪,经典,美国,悬疑"
1291879,"惊悚,人性,文艺,日本,经典,犯罪,动作,悬疑"
1291936,"科幻,人性,悬疑,日本,经典,动作,犯罪,美国,动画"
1291937,"人性,文艺,爱情,青春,经典"
1291976,"喜剧,人性,文艺,青春,经典"
1291989,"科幻,人性,动画"
1291990,"喜剧,人性,文艺,爱情,青春,经典,纪录片,美国"
1291992,"喜剧,人性,文艺,爱情,青春,大陆,日本,犯罪,经典,动作,香港,美国,惊悚"
